id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S4_VAL1,S4,Values,PRIO,İlişkide dürüstlük her şeyden önce gelir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_VAL2,S4,Values,PRIO,Özel alan (kişisel zaman) vazgeçilmezdir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_VAL3,S4,Values,PRIO,Maddi konularda şeffaflık isterim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_VAL4,S4,Values,PRIO,Sadakat benim için ‘sıfır tolerans’ alanıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_VAL5,S4,Values,PRIO,Kariyer hedeflerim ilişki planından önce gelir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_VAL6,S4,Values,PRIO,Ailemin/arkadaşlarımın onayı benim için önemlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_VAL7,S4,Values,PRIO,Fikir ayrılığı doğal ve faydalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_VAL8,S4,Values,PRIO,Duygular düzenli olarak ifade edilmeli.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_VAL9,S4,Values,PRIO,Ev/iş görevlerinde adil paylaşım beklerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_VAL10,S4,Values,PRIO,Özel hayatımın sosyal medyada paylaşılmasını istemem.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_VAL11,S4,Values,PRIO,Kıskançlık ilişkiyi koruyan bir sinyaldir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_VAL12,S4,Values,PRIO,Rutinler yerine spontanlığı tercih ederim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_BOUND_RANK,S4,Values,BOUND,Aşağıdaki sınırların sizin için önem sırasını belirtin (1=en önemli).,Ranking,Sadakat|Gizlilik/mahremiyet|Maddi şeffaflık|Zaman/erişilebilirlik|Fiziksel temas|Sosyal çevreyle paylaşım,0,"{""scale"": ""1-6 rank""}",1.0,
