id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S2_E1,S2,BigFive,E,[AD] sosyal ortamlarda sohbeti başlatır.,Likert5,Asla/Neredeyse Hiç|Nadiren|Bazen|Sık sık|Hemen her zaman,0,,1.0,X kişisi için [AD] yerine isim basın.
S2_E2,S2,BigFive,E,[AD] kalabalıkta geri planda kalmayı seçer.,Likert5,Asla/Neredeyse Hiç|Nadiren|Bazen|Sık sık|Hemen her zaman,1,,1.0,X kişisi için [AD] yerine isim basın.
S2_E3,S2,BigFive,E,[AD] yeni insanlarla tanışmaktan hoşlanır.,Likert5,Asla/Neredeyse Hiç|Nadiren|Bazen|Sık sık|Hemen her zaman,0,,1.0,X kişisi için [AD] yerine isim basın.
S2_A1,S2,BigFive,A,[AD] anlaşmazlıklarda önce karşı tarafı anlamaya çalışır.,Likert5,Asla/Neredeyse Hiç|Nadiren|Bazen|Sık sık|Hemen her zaman,0,,1.0,X kişisi için [AD] yerine isim basın.
S2_A2,S2,BigFive,A,[AD] keskin/direkt eleştiriler yapar.,Likert5,Asla/Neredeyse Hiç|Nadiren|Bazen|Sık sık|Hemen her zaman,1,,1.0,X kişisi için [AD] yerine isim basın.
S2_A3,S2,BigFive,A,[AD] ekip içinde işbirliğini teşvik eder.,Likert5,Asla/Neredeyse Hiç|Nadiren|Bazen|Sık sık|Hemen her zaman,0,,1.0,X kişisi için [AD] yerine isim basın.
S2_C1,S2,BigFive,C,[AD] verdiği sözleri zamanında tutar.,Likert5,Asla/Neredeyse Hiç|Nadiren|Bazen|Sık sık|Hemen her zaman,0,,1.0,X kişisi için [AD] yerine isim basın.
S2_C2,S2,BigFive,C,[AD] eşyaları/işlerini dağınık bırakır.,Likert5,Asla/Neredeyse Hiç|Nadiren|Bazen|Sık sık|Hemen her zaman,1,,1.0,X kişisi için [AD] yerine isim basın.
S2_C3,S2,BigFive,C,[AD] hedef belirleyip takip eder.,Likert5,Asla/Neredeyse Hiç|Nadiren|Bazen|Sık sık|Hemen her zaman,0,,1.0,X kişisi için [AD] yerine isim basın.
S2_ES1,S2,BigFive,E,[AD] stresli olaylarda kolayca gerginleşir.,Likert5,Asla/Neredeyse Hiç|Nadiren|Bazen|Sık sık|Hemen her zaman,1,,1.0,X kişisi için [AD] yerine isim basın.
